Date,Close,High,Low,Open,Volume
,CSCO,CSCO,CSCO,CSCO,CSCO
2015-01-02,20.05514144897461,20.425591521525494,19.888074752019662,20.236734540296887,22926500
2015-01-05,19.6556396484375,19.938925868226445,19.61205768594905,19.844496666481593,29460600
2015-01-06,19.648372650146484,20.10598803297278,19.64111014541816,19.713746276264526,47297600
2015-01-07,19.82996368408203,19.90260119281306,19.59752476449894,19.713744224290487,27570800
2015-01-08,19.98250961303711,20.403805649190872,19.953454045156153,20.004301288947826,40907000
2015-01-09,20.185895919799805,20.389279368175284,19.93892911639029,20.098730595177575,33619600
2015-01-12,20.37474822998047,20.48370521418807,20.207682886182372,20.338430158875006,38648400
2015-01-13,20.411062240600586,20.846885904810875,20.265787224048744,20.49096225280339,36074200
2015-01-14,20.280317306518555,20.374745108192034,20.0769325373317,20.222207570385937,29494400
2015-01-15,19.909866333007812,20.483701164042596,19.86628437920939,20.403799760874378,29521100
2015-01-16,20.105985641479492,20.171359259821713,19.76458977114896,19.873546725349478,26655100
2015-01-20,20.389278411865234,20.53455348427323,20.09146576033004,20.164103296534037,33684200
2015-01-21,20.222211837768555,20.47644250653968,20.12052012443838,20.382013299493927,29298500
2015-01-22,20.701616287231445,20.70888017849798,19.771858986798883,20.01156185681216,49494700
2015-01-23,20.490968704223633,20.701617406000366,20.44012284805564,20.59992569366438,21802500
2015-01-26,20.31663703918457,20.505494043473988,20.120517529547357,20.498230152680684,18370100
2015-01-27,19.539419174194336,20.040616566631563,19.365089947573896,19.989770715381294,46110500
2015-01-28,19.474042892456055,20.047877730968548,19.46677900248744,19.895338812518315,32381700
2015-01-29,19.77185821533203,19.837231848734476,19.35056223643047,19.423199760816026,28095400
2015-01-30,19.15444564819336,19.69196119405826,19.118126187728716,19.524894446812418,38419100
2015-02-02,19.48857307434082,19.517628637796353,18.82757424562818,19.168968803557565,29417000
2015-02-03,19.69921875,19.69921875,19.3868784176955,19.539415946246827,28044300
2015-02-04,19.386878967285156,19.77185543717792,19.328769233030854,19.65563596866931,27696300
2015-02-05,19.800912857055664,19.829967034189387,19.306979376773032,19.43046274684369,20548400
2015-02-06,19.786386489868164,20.09146299152575,19.713748963674345,19.880815689553806,25482400
2015-02-09,19.69921875,19.909866011158304,19.655635411460782,19.764590986918204,23681000
2015-02-10,19.967979431152344,20.004298886641955,19.72101267560524,19.728276566703162,22250300
2015-02-11,19.56121063232422,20.084198306444268,19.539418959693815,20.084198306444268,46213500
2015-02-12,21.398929595947266,21.486094890923923,20.948579497329735,21.057535076966534,117439100
2015-02-13,21.37714385986328,21.42798971548295,21.14470487106155,21.340824401959473,50656700
2015-02-17,21.289976119995117,21.319031683006802,21.086592720695332,21.253658051676013,34217200
2015-02-18,21.420724868774414,21.46430683087005,21.151967819498132,21.202813672850642,24503700
2015-02-19,21.289976119995117,21.348085860572986,21.15922885733354,21.289976119995117,21477800
2015-02-20,21.507892608642578,21.544210683585014,21.181024392377655,21.319035570961262,25985600
2015-02-23,21.52242088317871,21.536948668600182,21.36988329259088,21.52242088317871,24026800
2015-02-24,21.52242088317871,21.580530639418722,21.377147185301617,21.471575019649435,18479500
2015-02-25,21.420724868774414,21.478834613383796,21.297241488298784,21.38440679793565,17368100
2015-02-26,21.72580337524414,21.783913125205327,21.442518517364064,21.442518517364064,28305200
2015-02-27,21.435251235961914,21.72579993982447,21.34082204130314,21.711272158269963,29135500
2015-03-02,21.929187774658203,22.016351705214973,21.311770827190678,21.326298610765374,35981900
2015-03-03,21.45704460144043,21.878340601646418,21.40619736198738,21.863812818945547,32990300
2015-03-04,21.304506301879883,21.4425174708441,21.14470484364729,21.31903408502257,32866900
2015-03-05,21.28270721435547,21.420718335250132,21.151961367947298,21.4061905571675,17985000
2015-03-06,21.013954162597656,21.260920894239202,20.91952497291066,21.14470141881323,27035000
